상호명,시도명,시군구명,위도,경도
스타벅스,서울특별시,강서구,37.532285335238704,126.846035970796
스타벅스,서울특별시,강서구,37.5582364999702,126.844334259983
스타벅스,서울특별시,강서구,37.5581809080942,126.861799100259
스타벅스,서울특별시,강서구,37.5601782971845,126.839290175551
스타벅스,서울특별시,강서구,37.535001459722,126.863169824979
스타벅스,서울특별시,강서구,37.5615852559942,126.853258269858
스타벅스,서울특별시,강서구,37.560391911309,126.82898701343201
스타벅스,서울특별시,강서구,37.5744392795603,126.816370981046
스타벅스,서울특별시,강서구,37.5605394004382,126.83387431159099
빽다방,서울특별시,강서구,37.547558375193404,126.83598907708999
빽다방,서울특별시,강서구,37.5602237439063,126.845763651157
빽다방,서울특별시,강서구,37.5321928669701,126.846716251306
빽다방,서울특별시,강서구,37.5686389298063,126.826526036349
빽다방,서울특별시,강서구,37.5610454865774,126.83859760462299
투썸플레이스,서울특별시,강서구,37.5603771558083,126.85597059799
투썸플레이스,서울특별시,강서구,37.566313935170896,126.84108531567101
투썸플레이스,서울특별시,강서구,37.531524322014896,126.846534205345
투썸플레이스,서울특별시,강서구,37.5669853952399,126.817032279204
투썸플레이스,서울특별시,강서구,37.561690798783104,126.84008165738899
투썸플레이스,서울특별시,강서구,37.5548262918983,126.85127939869899
투썸플레이스,서울특별시,강서구,37.560201262197104,126.831570611212
이디야커피,서울특별시,강서구,37.5478448766996,126.83580355579201
이디야커피,서울특별시,강서구,37.5731668844251,126.811693143262
이디야커피,서울특별시,강서구,37.5491759557566,126.86329407394301
이디야커피,서울특별시,강서구,37.550655486055796,126.871940483475
이디야커피,서울특별시,강서구,37.5664636928306,126.848101050873
이디야커피,서울특별시,강서구,37.5722445063632,126.80689667978399
이디야커피,서울특별시,강서구,37.547232221154296,126.87484384943501
이디야커피,서울특별시,강서구,37.531292122895,126.86347504182
이디야커피,서울특별시,강서구,37.559268019317,126.84569916669399
이디야커피,서울특별시,강서구,37.5299505499559,126.83857081499201
이디야커피,서울특별시,강서구,37.5611565100407,126.809937135907
이디야커피,서울특별시,강서구,37.5666052206717,126.841386428116
이디야커피,서울특별시,강서구,37.5641733332656,126.810670159065
이디야커피,서울특별시,강서구,37.55030556777729,126.848757193059
이디야커피,서울특별시,강서구,37.5781836387184,126.813288950552
이디야커피,서울특별시,강서구,37.558016255906,126.838418262787
이디야커피,서울특별시,강서구,37.5619088753616,126.80236426658001
이디야커피,서울특별시,강서구,37.53431823727821,126.838333361131
이디야커피,서울특별시,강서구,37.5713574580352,126.80293746106199
이디야커피,서울특별시,강서구,37.54715572515671,126.843611355088
이디야커피,서울특별시,강서구,37.533059414663,126.858933773438
이디야커피,서울특별시,강서구,37.5457601374611,126.84740124673401
이디야커피,서울특별시,강서구,37.5690943091519,126.812595517417
이디야커피,서울특별시,강서구,37.5670848911589,126.827003198167
이디야커피,서울특별시,강서구,37.560391911309,126.82898701343201
이디야커피,서울특별시,강서구,37.53341228618729,126.845181337042
이디야커피,서울특별시,강서구,37.5606042036706,126.83313759604799
이디야커피,서울특별시,강서구,37.5682528631838,126.840342131832
이디야커피,서울특별시,강서구,37.56900353765271,126.812529039729
이디야커피,서울특별시,강서구,37.559191118332,126.835117705954
